,Date,Airline,Origin,Destination,DepTime,DepDelay,ArrTime,ArrDelay,AirTime,Distance,FlightNumber
156,2018-11-09,SkyWest Airlines Inc.,PHX,RDM,2122.0,1.0,2257.0,0.0,135.0,893.0,2982
157,2018-11-09,SkyWest Airlines Inc.,ORD,ICT,2157.0,0.0,2348.0,0.0,89.0,588.0,3124
158,2018-11-09,SkyWest Airlines Inc.,PDX,TUS,925.0,0.0,1309.0,0.0,148.0,1119.0,3341
159,2018-11-09,SkyWest Airlines Inc.,GNV,ATL,1535.0,105.0,1646.0,93.0,53.0,300.0,3725
160,2018-11-02,SkyWest Airlines Inc.,DTW,FWA,1949.0,0.0,2039.0,0.0,32.0,128.0,7417
161,2018-11-03,SkyWest Airlines Inc.,ORD,OKC,1817.0,0.0,2039.0,6.0,117.0,693.0,2956
162,2018-11-03,SkyWest Airlines Inc.,SAN,LAX,1943.0,0.0,2032.0,0.0,27.0,109.0,3290
163,2018-11-03,SkyWest Airlines Inc.,PSP,SLC,553.0,0.0,836.0,0.0,82.0,541.0,4762
164,2018-11-03,SkyWest Airlines Inc.,ORD,TUL,1534.0,0.0,1735.0,0.0,102.0,585.0,5940
165,2018-11-03,SkyWest Airlines Inc.,MSP,INL,1512.0,0.0,1624.0,0.0,44.0,255.0,7439
166,2018-11-04,SkyWest Airlines Inc.,BOI,SEA,2014.0,19.0,2101.0,19.0,86.0,399.0,3429
167,2018-11-04,SkyWest Airlines Inc.,COS,LAX,653.0,0.0,854.0,0.0,119.0,833.0,5367
168,2018-11-04,SkyWest Airlines Inc.,SLC,EKO,2012.0,0.0,2010.0,0.0,34.0,200.0,7388
169,2018-11-12,SkyWest Airlines Inc.,MGM,ATL,600.0,0.0,758.0,0.0,30.0,147.0,4127
170,2018-11-20,Southwest Airlines Co.,DAL,ABQ,815.0,15.0,851.0,0.0,83.0,580.0,3615
171,2018-11-05,SkyWest Airlines Inc.,DAL,SFO,1755.0,0.0,2003.0,0.0,220.0,1476.0,3481
172,2018-11-05,SkyWest Airlines Inc.,ATL,AVL,1111.0,15.0,1209.0,17.0,31.0,164.0,3695
173,2018-11-05,SkyWest Airlines Inc.,GSO,DTW,1735.0,2.0,1912.0,0.0,75.0,460.0,4556
174,2018-11-05,SkyWest Airlines Inc.,BNA,DEN,812.0,0.0,1024.0,0.0,167.0,1014.0,5356
175,2018-11-05,SkyWest Airlines Inc.,DEN,SBA,1911.0,1.0,2052.0,0.0,139.0,916.0,5796
176,2018-11-06,SkyWest Airlines Inc.,LAX,DAL,1624.0,0.0,2115.0,0.0,154.0,1246.0,3324
177,2018-11-24,Delta Air Lines Inc.,CAE,ATL,816.0,0.0,940.0,4.0,56.0,192.0,1107
178,2018-11-24,Delta Air Lines Inc.,ATL,DTW,1947.0,5.0,2140.0,0.0,87.0,594.0,1567
179,2018-11-24,Delta Air Lines Inc.,SAN,ATL,748.0,0.0,1427.0,0.0,197.0,1892.0,1592
